vel_x (m/s),vel_y (m/s),vel_z (m/s)
7.072624811754931962e+00,-7.070887599532863277e+00,4.085438637788135936e-04
7.072647348704899528e+00,-7.070859657501984863e+00,4.517927641062570139e-04
7.072662730824379906e+00,-7.070882863162182730e+00,3.940861988548630579e-04
7.072643578144365506e+00,-7.070908323749528712e+00,2.693423624947104611e-04
7.072602326381604243e+00,-7.070925849791539264e+00,2.411243925467032633e-04
7.072485156951114682e+00,-7.070932887033145597e+00,2.374940026271276684e-04
7.072536736635411714e+00,-7.070937835533711358e+00,2.756890439230842140e-04
7.072506244251514751e+00,-7.070901894487877648e+00,2.458709581795361782e-04
7.072509657543296413e+00,-7.070821357229333692e+00,2.947935018848503105e-04
7.072417431370548790e+00,-7.070825230166171593e+00,2.799511480290221626e-04
7.072382743071663036e+00,-7.070820139325177500e+00,3.135708627767540063e-04
7.072342288705876001e+00,-7.070803297702923373e+00,2.823001254839326837e-04
7.072416904712112817e+00,-7.070789795478209072e+00,3.082803316722271952e-04
7.072543212843406479e+00,-7.070753157047385606e+00,3.151617428072294629e-04
7.072591777826868764e+00,-7.070746563715204935e+00,3.583432210509439417e-04
7.072555056086175185e+00,-7.070678706058524554e+00,3.990850956638145215e-04
7.072482105010511333e+00,-7.070626437990858548e+00,3.817459466959408358e-04
7.072626407883737087e+00,-7.070721566194736241e+00,3.656446877168479173e-04
7.072624197462705986e+00,-7.070743422617376872e+00,3.300510412231631090e-04
7.072705646405488267e+00,-7.070745273941107634e+00,4.255614898867474062e-04
7.072733151988249922e+00,-7.070708347997083365e+00,4.213149135487901081e-04
7.072734478048782414e+00,-7.070686545472402607e+00,4.264687132993390251e-04
7.072792269456172676e+00,-7.070671742172920382e+00,3.525559024618942243e-04
7.072758646955628947e+00,-7.070633066174891290e+00,3.776748591224035785e-04
7.072774315774478460e+00,-7.070674393988261031e+00,3.136154163316574612e-04
7.072710756774123197e+00,-7.070638217256314029e+00,2.731677871405948331e-04
7.072762772802153819e+00,-7.070603456703031142e+00,2.822357104558889272e-04
7.072834817698103294e+00,-7.070578563491145552e+00,2.253143347697957651e-04
