ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
4.268130760635099108e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.292968154231315481e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.317675324390794600e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.342252939872130213e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.366701667335397019e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.391022171218669001e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.415215113628003962e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.439281154239591842e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.463220950212901528e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.487035156113773127e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.510724423846501452e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.534289402594032481e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.557730738765513934e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.581049075950465266e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.604245054878945353e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.627319313387138067e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.650272486387818560e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.673105205845236299e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.695818100753989910e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.718411797121491702e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.740886917953681490e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.763244083243676386e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.785483909963049598e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.807607012055503759e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.829614000432685117e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.851505482971931826e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.873282064515767331e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.894944346872961916e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.916492928821001129e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.937928406109825374e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.959251371466712044e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.980462414602176580e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.001562122216793682e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.022551078008841330e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.043429862682679499e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.064199053957791818e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.084859226578414848e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.105410952323686047e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.125854800018268520e+01,0.000000000000000000e+00,0.000000000000000000e+00
