ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.185031314749755538e+01,7.880439710921062435e+00,3.742187116036371464e+01
3.181091492487574257e+01,8.038001572121943994e+00,3.742187116036371464e+01
3.177032744886513882e+01,8.196955009209426990e+00,3.742187116036371464e+01
3.172852789148586439e+01,8.357289959689129688e+00,3.742187116036371464e+01
3.168549326884750172e+01,8.518996064146113767e+00,3.742187116036371464e+01
3.164120044473417437e+01,8.682062660869895865e+00,3.742187116036371464e+01
3.159562613429255507e+01,8.846478780459854363e+00,3.742187116036371464e+01
3.154874690782449420e+01,9.012233140412632793e+00,3.742187116036371464e+01
3.150053919468593833e+01,9.179314139693241614e+00,3.742187116036371464e+01
3.145097928729394354e+01,9.347709853291588544e+00,3.742187116036371464e+01
3.140004334524338603e+01,9.517408026766203122e+00,3.742187116036371464e+01
3.134770739953514962e+01,9.688396070776965630e+00,3.742187116036371464e+01
3.129394735691741047e+01,9.860661055608744618e+00,3.742187116036371464e+01
3.123873900434180229e+01,1.003418970568782065e+01,3.742187116036371464e+01
3.118205801353601458e+01,1.020896839409309109e+01,3.742187116036371464e+01
3.112387994569463245e+01,1.038498313706405263e+01,3.742187116036371464e+01
3.106418025628975599e+01,1.056221958850765930e+01,3.742187116036371464e+01
3.100293430000313322e+01,1.074066303450613979e+01,3.742187116036371464e+01
3.094018669910823149e+01,1.092010186103789771e+01,3.742187116036371464e+01
3.087599667090816524e+01,1.110029761804543291e+01,3.742187116036371464e+01
3.081042066027026394e+01,1.128103525250713446e+01,3.742187116036371464e+01
3.074351252202465545e+01,1.146212089620548369e+01,3.742187116036371464e+01
3.067532368271420040e+01,1.164337986118422741e+01,3.742187116036371464e+01
3.060590328568713048e+01,1.182465482364212406e+01,3.742187116036371464e+01
3.053529832263696875e+01,1.200580417875793060e+01,3.742187116036371464e+01
3.046355375399734911e+01,1.218670055053586587e+01,3.742187116036371464e+01
3.039071262005428409e+01,1.236722944221504150e+01,3.742187116036371464e+01
3.031681614421354709e+01,1.254728801411166295e+01,3.742187116036371464e+01
3.024190382953190337e+01,1.272678397697002062e+01,3.742187116036371464e+01
3.016601354936688750e+01,1.290563458999714008e+01,3.742187116036371464e+01
3.008918163280543823e+01,1.308376575375610429e+01,3.742187116036371464e+01
3.001144294538382695e+01,1.326111118900254127e+01,3.742187116036371464e+01
2.993283096549943423e+01,1.343761169337599526e+01,3.742187116036371464e+01
2.985337785683142897e+01,1.361321446860968720e+01,3.742187116036371464e+01
2.977311453702540689e+01,1.378787251160539462e+01,3.742187116036371464e+01
2.969207074285164083e+01,1.396154406334095022e+01,3.742187116036371464e+01
2.961027509201377583e+01,1.413419211014148935e+01,3.742187116036371464e+01
2.952775514176139637e+01,1.430578393235759194e+01,3.742187116036371464e+01
2.944453744444347620e+01,1.447629069595810591e+01,3.742187116036371464e+01
2.936064760012837738e+01,1.464568708296722654e+01,3.742187116036371464e+01
2.927611030640841605e+01,1.481395095705815557e+01,3.742187116036371464e+01
2.919094940550191453e+01,1.498106306096281770e+01,3.742187116036371464e+01
2.910518792876213823e+01,1.514700674267216485e+01,3.742187116036371464e+01
2.901884813870027813e+01,1.531176770768707307e+01,3.742187116036371464e+01
2.893195156862792317e+01,1.547533379483898486e+01,3.742187116036371464e+01
2.884451906002302835e+01,1.563769477343401526e+01,3.742187116036371464e+01
2.875657079772214431e+01,1.579884215968725059e+01,3.742187116036371464e+01
2.866812634304024243e+01,1.595876905060660889e+01,3.742187116036371464e+01
2.857920466491793832e+01,1.611746997366056533e+01,3.742187116036371464e+01
2.848982416919416494e+01,1.627494075072217683e+01,3.742187116036371464e+01
2.840000272610027210e+01,1.643117837492534861e+01,3.742187116036371464e+01
2.830975769606935799e+01,1.658618089919916372e+01,3.742187116036371464e+01
2.821910595395203103e+01,1.673994733536358126e+01,3.742187116036371464e+01
2.812806391172716047e+01,1.689247756277655554e+01,3.742187116036371464e+01
2.803664753979326107e+01,1.704377224561868331e+01,3.742187116036371464e+01
2.794487238692305553e+01,1.719383275798919897e+01,3.742187116036371464e+01
2.785275359896074931e+01,1.734266111606567762e+01,3.742187116036371464e+01
2.776030593633803178e+01,1.749025991665168434e+01,3.742187116036371464e+01
2.766754379048183665e+01,1.763663228150111451e+01,3.742187116036371464e+01
2.757448119918324636e+01,1.778178180686645504e+01,3.742187116036371464e+01
2.748113186099385175e+01,1.792571251777139096e+01,3.742187116036371464e+01
2.738750914871236830e+01,1.806842882655582372e+01,3.742187116036371464e+01
2.729362612202121596e+01,1.820993549528494171e+01,3.742187116036371464e+01
2.719949553932936581e+01,1.835023760165298867e+01,3.742187116036371464e+01
2.710512986887485098e+01,1.848934050804802709e+01,3.742187116036371464e+01
2.701054129913709545e+01,1.862724983347586871e+01,3.742187116036371464e+01
2.691574174860637569e+01,1.876397142807047302e+01,3.742187116036371464e+01
2.682074287495489529e+01,1.889951134994430149e+01,3.742187116036371464e+01
2.672555608365114921e+01,1.903387584415571254e+01,3.742187116036371464e+01
2.663019253605670400e+01,1.916707132359211840e+01,3.742187116036371464e+01
2.653466315704199019e+01,1.929910435158677728e+01,3.742187116036371464e+01
2.643897864215535876e+01,1.942998162610479795e+01,3.742187116036371464e+01
2.634314946437729787e+01,1.955970996534956896e+01,3.742187116036371464e+01
2.624718588048970602e+01,1.968829629465533770e+01,3.742187116036371464e+01
2.615109793708795394e+01,1.981574763454438681e+01,3.742187116036371464e+01
2.605489547626161695e+01,1.994207108983917465e+01,3.742187116036371464e+01
2.595858814096795086e+01,2.006727383973008827e+01,3.742187116036371464e+01
2.586218538012047219e+01,2.019136312870926986e+01,3.742187116036371464e+01
2.576569645341339410e+01,2.031434625828942586e+01,3.742187116036371464e+01
2.566913043590120225e+01,2.043623057943435839e+01,3.742187116036371464e+01
2.557249622235119801e+01,2.055702348563504955e+01,3.742187116036371464e+01
2.547580253138564288e+01,2.067673240657145328e+01,3.742187116036371464e+01
