ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.000000000000000000e+00,0.000000000000000000e+00,-2.521014298575623869e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.549662188332165158e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.578310078088706092e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.606957967845247381e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.635605857601788671e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.664253747358329605e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.692901637114870894e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.721549526871412183e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.750197416627953473e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.778845306384494407e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.807493196141035696e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.836141085897576986e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.864788975654117920e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.893436865410659209e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.922084755167200498e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.950732644923741788e+01
0.000000000000000000e+00,0.000000000000000000e+00,-2.979380534680282722e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.008028424436824011e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.036676314193365300e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.065324203949906234e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.093972093706447524e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.122619983462988813e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.151267873219529747e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.179915762976071036e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.208563652732612326e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.237211542489153260e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.265859432245694904e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.294507322002235838e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.319515877463948073e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.340363819440756288e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.357456785310163383e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.371161726199975561e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.381810592137705385e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.389703666185594244e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.395112580995601093e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.398283048034109299e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.399437326844749663e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.398776459110903403e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.396482289920886899e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.392719296504910886e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.387636242782280505e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.381367676310522086e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.374035282647783873e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.365749110709995762e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.356608681410631334e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.346703990700498110e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.336116417066028106e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.324919542586471977e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.313179895783577678e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.300957623713081546e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.288307100037778241e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.275277475179986908e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.261913174070383548e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.248254346484706900e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.234337274484354907e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.220194741046795883e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.205856363582469726e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.191348895682784104e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.176696500125225953e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.161920995873361306e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.147042081548746140e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.132077537615818130e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.117043409307375512e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.101954172125123321e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.086822881575033506e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.071661308639165355e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.056480062342564352e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.041288700644452447e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.026095830765828865e+01
0.000000000000000000e+00,0.000000000000000000e+00,-3.010909199959685267e+01
