pos_x (m),pos_y (m),pos_z (m)
-2.707435890361211263e+06,4.688683861659132876e+06,3.360102292225152720e+06
-2.707435794851387385e+06,4.688683832007041201e+06,3.360102292196391150e+06
-2.707435699263607617e+06,4.688683802603823133e+06,3.360102292168286629e+06
-2.707435603599625640e+06,4.688683773450829089e+06,3.360102292139618658e+06
-2.707435507860372774e+06,4.688683744548911229e+06,3.360102292110864539e+06
-2.707435412045587320e+06,4.688683715898428112e+06,3.360102292081686668e+06
-2.707435316157147754e+06,4.688683687499654479e+06,3.360102292051776778e+06
-2.707435220194887836e+06,4.688683659350955859e+06,3.360102292023402639e+06
-2.707435124159516301e+06,4.688683631454478949e+06,3.360102291995061561e+06
-2.707435028051956557e+06,4.688683603808696382e+06,3.360102291966894176e+06
-2.707434931872709654e+06,4.688683576415273361e+06,3.360102291938610375e+06
-2.707434835622338578e+06,4.688683549273647368e+06,3.360102291910490021e+06
-2.707434739300608169e+06,4.688683522384133190e+06,3.360102291882041376e+06
-2.707434642908898648e+06,4.688683495746755041e+06,3.360102291854691226e+06
-2.707434546447269153e+06,4.688683469362586737e+06,3.360102291828269139e+06
-2.707434449917495716e+06,4.688683443232362159e+06,3.360102291800323874e+06
-2.707434353319691960e+06,4.688683417354469188e+06,3.360102291771309916e+06
-2.707434256654410157e+06,4.688683391729512252e+06,3.360102291742956731e+06
-2.707434159921162762e+06,4.688683366356649436e+06,3.360102291714623105e+06
-2.707434063121373300e+06,4.688683341236052103e+06,3.360102291686411481e+06
-2.707433966256700922e+06,4.688683316369892098e+06,3.360102291659229901e+06
-2.707433869326803368e+06,4.688683291757344268e+06,3.360102291632065549e+06
-2.707433772332488559e+06,4.688683267398694530e+06,3.360102291606545914e+06
-2.707433675274817739e+06,4.688683243293289095e+06,3.360102291581975296e+06
-2.707433578154155985e+06,4.688683219442137517e+06,3.360102291558858007e+06
-2.707433480971625540e+06,4.688683195845860988e+06,3.360102291535350494e+06
-2.707433383726857603e+06,4.688683172503693029e+06,3.360102291512157768e+06
-2.707433286420916673e+06,4.688683149416032247e+06,3.360102291488947347e+06
-2.707433189053860493e+06,4.688683126583226956e+06,3.360102291466567665e+06
-2.707433091626641806e+06,4.688683104006254114e+06,3.360102291443386581e+06
-2.707432994140672963e+06,4.688683081684871577e+06,3.360102291420478374e+06
-2.707432896596927196e+06,4.688683059619386680e+06,3.360102291398318484e+06
-2.707432798996316735e+06,4.688683037810677662e+06,3.360102291377377696e+06
-2.707432701338674407e+06,4.688683016257609241e+06,3.360102291356089059e+06
-2.707432603625145275e+06,4.688682994961139746e+06,3.360102291336474009e+06
-2.707432505856213160e+06,4.688682973920315504e+06,3.360102291316715535e+06
-2.707432408032544889e+06,4.688682953136092052e+06,3.360102291295968462e+06
-2.707432310154813807e+06,4.688682932607760653e+06,3.360102291275693569e+06
-2.707432212223802228e+06,4.688682912336545996e+06,3.360102291255956050e+06
-2.707432114240324125e+06,4.688682892321486026e+06,3.360102291236766148e+06
-2.707432016204241663e+06,4.688682872563173063e+06,3.360102291216629557e+06
-2.707431918116918299e+06,4.688682853062372655e+06,3.360102291196507867e+06
-2.707431819978634361e+06,4.688682833817021921e+06,3.360102291175514925e+06
-2.707431721790665761e+06,4.688682814828892238e+06,3.360102291154324077e+06
-2.707431623552963603e+06,4.688682796097489074e+06,3.360102291132259183e+06
-2.707431525266592856e+06,4.688682777623218484e+06,3.360102291111226659e+06
-2.707431426932622213e+06,4.688682759406449273e+06,3.360102291090316605e+06
-2.707431328551727813e+06,4.688682741446961649e+06,3.360102291069091298e+06
-2.707431230123532936e+06,4.688682723745281808e+06,3.360102291047136765e+06
-2.707431131649596151e+06,4.688682706302062608e+06,3.360102291025936138e+06
-2.707431033131167758e+06,4.688682689116905443e+06,3.360102291004073806e+06
-2.707430934568524361e+06,4.688682672189601697e+06,3.360102290982733481e+06
-2.707430835961341392e+06,4.688682655520367436e+06,3.360102290961143095e+06
-2.707430737310595345e+06,4.688682639109752141e+06,3.360102290938108694e+06
-2.707430638617194723e+06,4.688682622957840562e+06,3.360102290914285462e+06
-2.707430539881890640e+06,4.688682607064172626e+06,3.360102290890343487e+06
-2.707430441105825827e+06,4.688682591428912245e+06,3.360102290867690463e+06
-2.707430342289411463e+06,4.688682576051533222e+06,3.360102290844772011e+06
-2.707430243434184231e+06,4.688682560932189226e+06,3.360102290823676623e+06
-2.707430144539897796e+06,4.688682546072000638e+06,3.360102290802848991e+06
-2.707430045606264379e+06,4.688682531471575610e+06,3.360102290782192256e+06
-2.707429946635094937e+06,4.688682517130020075e+06,3.360102290763858240e+06
-2.707429847626436502e+06,4.688682503048602492e+06,3.360102290745793842e+06
-2.707429748580424115e+06,4.688682489226466045e+06,3.360102290726863313e+06
-2.707429649498202838e+06,4.688682475663626567e+06,3.360102290707702748e+06
-2.707429550381346606e+06,4.688682462360663339e+06,3.360102290687861387e+06
-2.707429451229920611e+06,4.688682449316954240e+06,3.360102290668112226e+06
-2.707429352044307627e+06,4.688682436533639207e+06,3.360102290648161434e+06
-2.707429252825352363e+06,4.688682424010743387e+06,3.360102290627955459e+06
-2.707429153573955875e+06,4.688682411747721024e+06,3.360102290607466828e+06
-2.707429054290756583e+06,4.688682399744883180e+06,3.360102290587268304e+06
-2.707428954975499306e+06,4.688682388001432642e+06,3.360102290566954296e+06
-2.707428855630228296e+06,4.688682376517754979e+06,3.360102290545262396e+06
-2.707428756255908869e+06,4.688682365293961018e+06,3.360102290523334872e+06
-2.707428656852099113e+06,4.688682354329977185e+06,3.360102290500063449e+06
-2.707428557420399506e+06,4.688682343625437468e+06,3.360102290477381554e+06
