Yaw (deg),Pitch (deg),Roll (deg)
-3.074795870547469434e+01,-1.270443189960881016e-03,6.084929841223566706e-03
-3.059799969984478807e+01,-1.419483069906651894e-03,6.787041704774663710e-03
-3.044865996985883783e+01,-1.752688483383210705e-03,6.986099166565264140e-03
-3.029885412029038605e+01,-1.701947179365938647e-03,6.508100290315723888e-03
-3.014830733191151069e+01,-2.355158958972881130e-03,6.563312451336577452e-03
-2.999859979311576552e+01,-2.623224477385750677e-03,6.562211314387351307e-03
-2.984825634175988895e+01,-2.749980465144252501e-03,6.224502400074901839e-03
-2.969793801433486635e+01,-3.618154690984013225e-03,6.481226413108919990e-03
-2.954799374003006918e+01,-4.445329229706702044e-03,6.962087896206832320e-03
-2.939730793611116155e+01,-4.588745139412983738e-03,7.403124465276725644e-03
-2.924707528217017938e+01,-3.687756471065350289e-03,7.405785185815487795e-03
-2.909659026836131801e+01,-3.079763509730847493e-03,6.801665311087599398e-03
-2.894632540038927004e+01,-3.279916138884310210e-03,6.406528669145085571e-03
-2.879550309890222337e+01,-2.995527441142167065e-03,6.404235824639861914e-03
-2.864544599101871825e+01,-2.716857817135048033e-03,6.421351525770018290e-03
-2.849587388780464181e+01,-2.550612279381949711e-03,6.654070679063620215e-03
-2.834621893367949852e+01,-2.795442613630981076e-03,5.869125243736856429e-03
-2.819581713301074188e+01,-2.962962016684040842e-03,5.515124768581129017e-03
-2.804515821193858827e+01,-3.164057748678368934e-03,5.123913897237308661e-03
-2.789474801986575514e+01,-3.778785308751367571e-03,5.358237585357921925e-03
-2.774536870291517587e+01,-3.680587372559728215e-03,5.185277363717156508e-03
-2.759599758819440396e+01,-3.868032441908881430e-03,5.124331725833614765e-03
-2.744658667167661292e+01,-3.352208284274954021e-03,4.476456516493153986e-03
-2.729648221542191422e+01,-4.040158855407186347e-03,5.102985886241075304e-03
-2.714667180549263037e+01,-4.855405682479208701e-03,5.594490537603440637e-03
-2.699717961007565492e+01,-4.745588149986173024e-03,5.436030127598239815e-03
-2.684698033063568801e+01,-4.650353277099463466e-03,5.661486363401907820e-03
-2.669674342200455186e+01,-4.488732699546594748e-03,6.290298641995288251e-03
-2.654688227403800127e+01,-4.449991267660237219e-03,6.019093623975893190e-03
