accel_only_with_bias_x (m/s^2),accel_only_with_bias_y (m/s^2),accel_only_with_bias_z (m/s^2)
0.000000000000000000e+00,2.615493680876856519e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.615743700588319953e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.615968718328637088e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.616171234294922598e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.616353498664580002e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.616517536597271487e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.616665170736693913e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.616798041462173874e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.616917625115106283e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617025250402744696e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617122113161619801e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617209289644606862e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617287748479295573e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617358361430515590e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617421913086613205e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617479109577101504e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617530586418541194e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617576915575836605e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617618611817402297e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617656138434811375e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617689912390479545e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617720308950581387e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617747665854672778e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617772287068355297e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617794446160668809e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617814389343751547e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617832338208526011e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617848492186822806e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617863030767289878e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617876115489710553e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617887891739889117e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617898490365049291e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617908029127693936e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617916614014074383e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617924340411816431e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617931294169784096e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617937552551954816e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617943185095908731e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617948254385467521e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617952816746070166e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617956922870612768e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617960618382700666e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617963944343580263e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617966937708371855e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617969631736683844e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617972056362165123e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617974238525098141e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617976202471737679e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617977970023713574e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617979560820491880e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617980992537592311e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617982281082982698e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617983440773834047e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617984484495599951e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617985423845189175e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617986269259819920e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617987030132987059e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617987714918838194e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617988331226103860e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617988885902642782e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617989385111528122e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617989834399525151e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617990238758721944e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617990602681998791e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617990930212948264e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617991224990802834e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617991490290871859e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617991729060933803e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617991943953990042e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617992137357740390e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617992311421115659e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617992468078153667e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617992609069487830e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617992735961688133e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617992850164668539e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617992952947351348e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993045451765255e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993128705738304e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993203634314092e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993271070031991e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993331762178411e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993386385109922e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993435545748593e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993479790323264e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993519610440245e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993555448545617e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993587702840408e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993616731705941e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993642857684655e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993666371065675e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993687533108460e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993706578947144e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993723720201782e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993739147330690e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993753031746973e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993765527721894e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993776774099057e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993786895838504e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993796005404050e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993804204012953e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993811582761232e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993818223634417e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993824200420150e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993829579527532e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993834420724308e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993838777801230e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993842699170681e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993846228403143e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993849404712137e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993852263390764e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993854836200729e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993857151730275e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993859235706822e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993861111285181e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993862799306015e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993864318524544e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993865685821486e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993866916388690e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993868023899662e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993869020658781e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993869917742522e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993870725117578e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993871451755439e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993872105729203e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993872694305946e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993873224024881e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993873700771967e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993874129844301e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993874516009178e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993874863557835e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993875176351626e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993875457865549e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993875711228657e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993875939255144e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993876144479426e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993876329181013e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993876495412486e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993876645020812e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993876779667772e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993876900850392e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877009914705e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877108073075e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877196415298e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877275923253e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877347480236e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877411881609e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877469842801e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877522008184e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877568956407e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877611210607e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877649238854e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877683464365e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877714267725e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877741990438e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877766941146e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877789396073e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877809606129e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877827795135e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877844164707e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877858897811e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877872157427e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877884090992e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877894831289e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877904497779e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877913197487e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877921027224e+00,-9.794839130570458963e+00
0.000000000000000000e+00,2.617993877928073587e+00,-9.794839130570458963e+00
